2026-04-24 17:05:31.353 | INFO     | app.agent.nodes.recall_value:recall_value:59 - 合并后的字段取值: ['dim_region.region_name.华南', 'dim_region.region_name.华东', 'dim_region.region_name.西南', 'dim_region.region_name.华北', 'dim_region.region_name.华中', 'dim_region.country.中国', 'dim_region.province.广东省', 'dim_region.province.浙江省', 'dim_region.province.四川省', 'dim_region.province.北京市', 'dim_region.province.上海市', 'dim_region.province.湖北省', 'dim_region.region_id.R001', 'dim_region.region_id.R002', 'dim_region.region_id.R003', 'dim_region.region_id.R004', 'dim_region.region_id.R005', 'dim_region.region_id.R006', 'fact_order.region_id.R001', 'fact_order.region_id.R005', 'fact_order.region_id.R002', 'fact_order.region_id.R004', 'fact_order.region_id.R003', 'fact_order.region_id.R006', 'dim_product.category.手机数码', 'dim_product.category.家用电器', 'dim_product.category.鞋靴', 'dim_product.category.服饰', 'dim_product.category.食品饮料', 'dim_product.category.休闲零食', 'fact_order.order_amount.8999.0', 'fact_order.order_amount.6999.0', 'fact_order.order_amount.125.0', 'fact_order.order_amount.899.0', 'fact_order.order_amount.60.0', 'fact_order.order_amount.1399.0', 'fact_order.order_amount.40.0', 'fact_order.order_amount.299.0', 'fact_order.order_amount.200.0', 'fact_order.order_amount.9499.0', 'fact_order.order_amount.35.0', 'fact_order.order_amount.3200.0', 'fact_order.order_amount.599.0', 'fact_order.order_amount.1299.0', 'fact_order.order_amount.5499.0', 'fact_order.order_quantity.1', 'fact_order.order_quantity.5', 'fact_order.order_quantity.12', 'fact_order.order_quantity.8', 'fact_order.order_quantity.2', 'fact_order.order_quantity.10', 'fact_order.order_quantity.3', 'fact_order.order_quantity.6', 'fact_order.order_quantity.25', 'fact_order.order_quantity.4', 'fact_order.order_quantity.7', 'fact_order.order_quantity.9', 'fact_order.order_quantity.20', 'fact_order.order_quantity.15', 'fact_order.order_quantity.18']
2026-04-24 17:08:14.708 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:34 - 抽取关键词:['华北地区', '查询', '销售额', '查询华北地区的销售额']
2026-04-24 17:08:18.565 | INFO     | app.agent.nodes.recall_column:recall_column:44 - 检索到字段信息: ['dim_region.region_name', 'dim_region.province', 'fact_order.order_amount', 'fact_order.order_quantity', 'dim_region.country', 'fact_order.region_id', 'dim_region.region_id', 'dim_product.category']
2026-04-24 17:08:19.206 | INFO     | app.agent.nodes.recall_value:recall_value:49 - qdrant检索到字段取值: ['dim_region.region_name.华南', 'dim_region.region_name.华东', 'dim_region.region_name.西南', 'dim_region.region_name.华北', 'dim_region.region_name.华中', 'dim_region.province.广东省', 'dim_region.province.浙江省', 'dim_region.province.四川省', 'dim_region.province.北京市', 'dim_region.province.上海市', 'dim_region.province.湖北省', 'fact_order.order_amount.8999.0', 'fact_order.order_amount.6999.0', 'fact_order.order_amount.125.0', 'fact_order.order_amount.899.0', 'fact_order.order_amount.60.0', 'fact_order.order_amount.1399.0', 'fact_order.order_amount.40.0', 'fact_order.order_amount.299.0', 'fact_order.order_amount.200.0', 'fact_order.order_amount.9499.0', 'fact_order.order_amount.35.0', 'fact_order.order_amount.3200.0', 'fact_order.order_amount.599.0', 'fact_order.order_amount.1299.0', 'fact_order.order_amount.5499.0', 'fact_order.order_quantity.1', 'fact_order.order_quantity.5', 'fact_order.order_quantity.12', 'fact_order.order_quantity.8', 'fact_order.order_quantity.2', 'fact_order.order_quantity.10', 'fact_order.order_quantity.3', 'fact_order.order_quantity.6', 'fact_order.order_quantity.25', 'fact_order.order_quantity.4', 'fact_order.order_quantity.7', 'fact_order.order_quantity.9', 'fact_order.order_quantity.20', 'fact_order.order_quantity.15', 'fact_order.order_quantity.18', 'dim_region.country.中国', 'dim_region.region_id.R001', 'dim_region.region_id.R002', 'dim_region.region_id.R003', 'dim_region.region_id.R004', 'dim_region.region_id.R005', 'dim_region.region_id.R006', 'fact_order.region_id.R001', 'fact_order.region_id.R005', 'fact_order.region_id.R002', 'fact_order.region_id.R004', 'fact_order.region_id.R003', 'fact_order.region_id.R006', 'dim_product.category.手机数码', 'dim_product.category.家用电器', 'dim_product.category.鞋靴', 'dim_product.category.服饰', 'dim_product.category.食品饮料', 'dim_product.category.休闲零食']
2026-04-24 17:08:19.242 | INFO     | app.agent.nodes.recall_value:recall_value:56 - es检索到字段取值: ['dim_region.region_name.华北']
2026-04-24 17:08:19.243 | INFO     | app.agent.nodes.recall_value:recall_value:59 - 合并后的字段取值: ['dim_region.region_name.华南', 'dim_region.region_name.华东', 'dim_region.region_name.西南', 'dim_region.region_name.华北', 'dim_region.region_name.华中', 'dim_region.province.广东省', 'dim_region.province.浙江省', 'dim_region.province.四川省', 'dim_region.province.北京市', 'dim_region.province.上海市', 'dim_region.province.湖北省', 'fact_order.order_amount.8999.0', 'fact_order.order_amount.6999.0', 'fact_order.order_amount.125.0', 'fact_order.order_amount.899.0', 'fact_order.order_amount.60.0', 'fact_order.order_amount.1399.0', 'fact_order.order_amount.40.0', 'fact_order.order_amount.299.0', 'fact_order.order_amount.200.0', 'fact_order.order_amount.9499.0', 'fact_order.order_amount.35.0', 'fact_order.order_amount.3200.0', 'fact_order.order_amount.599.0', 'fact_order.order_amount.1299.0', 'fact_order.order_amount.5499.0', 'fact_order.order_quantity.1', 'fact_order.order_quantity.5', 'fact_order.order_quantity.12', 'fact_order.order_quantity.8', 'fact_order.order_quantity.2', 'fact_order.order_quantity.10', 'fact_order.order_quantity.3', 'fact_order.order_quantity.6', 'fact_order.order_quantity.25', 'fact_order.order_quantity.4', 'fact_order.order_quantity.7', 'fact_order.order_quantity.9', 'fact_order.order_quantity.20', 'fact_order.order_quantity.15', 'fact_order.order_quantity.18', 'dim_region.country.中国', 'dim_region.region_id.R001', 'dim_region.region_id.R002', 'dim_region.region_id.R003', 'dim_region.region_id.R004', 'dim_region.region_id.R005', 'dim_region.region_id.R006', 'fact_order.region_id.R001', 'fact_order.region_id.R005', 'fact_order.region_id.R002', 'fact_order.region_id.R004', 'fact_order.region_id.R003', 'fact_order.region_id.R006', 'dim_product.category.手机数码', 'dim_product.category.家用电器', 'dim_product.category.鞋靴', 'dim_product.category.服饰', 'dim_product.category.食品饮料', 'dim_product.category.休闲零食']
2026-04-24 17:08:19.263 | INFO     | app.agent.nodes.recall_metric:recall_metric:42 - 检索到指标信息: ['GMV', 'AOV']
2026-04-24 17:15:48.245 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:34 - 抽取关键词:['查询华北地区的销售额', '华北地区', '查询', '销售额']
2026-04-24 17:15:51.962 | INFO     | app.agent.nodes.recall_column:recall_column:44 - 检索到字段信息: ['dim_region.region_name', 'dim_region.country', 'dim_region.province', 'fact_order.region_id', 'dim_region.region_id', 'dim_product.category', 'fact_order.order_amount', 'fact_order.order_quantity']
2026-04-24 17:15:52.615 | INFO     | app.agent.nodes.recall_value:recall_value:49 - qdrant检索到字段取值: ['dim_region.region_name.华南', 'dim_region.region_name.华东', 'dim_region.region_name.西南', 'dim_region.region_name.华北', 'dim_region.region_name.华中', 'fact_order.order_amount.8999.0', 'fact_order.order_amount.6999.0', 'fact_order.order_amount.125.0', 'fact_order.order_amount.899.0', 'fact_order.order_amount.60.0', 'fact_order.order_amount.1399.0', 'fact_order.order_amount.40.0', 'fact_order.order_amount.299.0', 'fact_order.order_amount.200.0', 'fact_order.order_amount.9499.0', 'fact_order.order_amount.35.0', 'fact_order.order_amount.3200.0', 'fact_order.order_amount.599.0', 'fact_order.order_amount.1299.0', 'fact_order.order_amount.5499.0', 'fact_order.order_quantity.1', 'fact_order.order_quantity.5', 'fact_order.order_quantity.12', 'fact_order.order_quantity.8', 'fact_order.order_quantity.2', 'fact_order.order_quantity.10', 'fact_order.order_quantity.3', 'fact_order.order_quantity.6', 'fact_order.order_quantity.25', 'fact_order.order_quantity.4', 'fact_order.order_quantity.7', 'fact_order.order_quantity.9', 'fact_order.order_quantity.20', 'fact_order.order_quantity.15', 'fact_order.order_quantity.18']
